,map_name,junction_id,num_actors,scenario_spec_id,rep_id,num_collisions,num_preventative_maneuvers,near_miss_occurance,num_frames,prevent_vis_tot_frames,prevent_vis_stretch_frames,prevent_vis_tail_frames,prevent_lid_tot_frames,prevent_lid_stretch_frames,prevent_lid_tail_frames,prevent_both_tot_frames,prevent_both_stretch_frames,prevent_both_tail_frames,ego,maneuver.id,maneuver.type,maneuver.start_lane_id,maneuver.end_lane_id
688,Town04,916,2,40,4,0,0,0,253,0,0,0,0,0,0,0,0,0,True,road996_lane0,straight,road27_lane0,road52_lane0
690,Town04,916,2,40,5,0,0,0,254,0,0,0,0,0,0,0,0,0,True,road996_lane0,straight,road27_lane0,road52_lane0
692,Town04,916,2,40,6,0,0,0,253,0,0,0,0,0,0,0,0,0,True,road996_lane0,straight,road27_lane0,road52_lane0
694,Town04,916,2,40,7,0,0,0,252,0,0,0,0,0,0,0,0,0,True,road996_lane0,straight,road27_lane0,road52_lane0
696,Town04,916,2,40,8,0,0,0,253,0,0,0,0,0,0,0,0,0,True,road996_lane0,straight,road27_lane0,road52_lane0
698,Town04,916,2,40,9,0,0,0,253,0,0,0,0,0,0,0,0,0,True,road996_lane0,straight,road27_lane0,road52_lane0
720,Town04,916,2,42,0,0,0,0,294,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
722,Town04,916,2,42,1,0,0,0,290,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
724,Town04,916,2,42,2,0,0,0,290,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
726,Town04,916,2,42,3,0,0,0,291,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
728,Town04,916,2,42,4,0,0,0,294,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
730,Town04,916,2,42,5,0,0,0,296,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
732,Town04,916,2,42,6,0,0,0,293,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
734,Town04,916,2,42,7,0,0,0,291,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
736,Town04,916,2,42,8,0,0,0,294,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
738,Town04,916,2,42,9,0,0,0,290,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
800,Town04,916,2,46,0,0,0,0,265,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
802,Town04,916,2,46,1,0,0,0,264,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
804,Town04,916,2,46,2,0,0,0,265,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
806,Town04,916,2,46,3,0,0,0,264,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
808,Town04,916,2,46,4,0,0,0,264,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
810,Town04,916,2,46,5,0,0,0,265,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
812,Town04,916,2,46,6,0,0,0,263,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
814,Town04,916,2,46,7,0,0,0,264,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
816,Town04,916,2,46,8,0,0,0,264,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
818,Town04,916,2,46,9,0,0,0,267,0,0,0,0,0,0,0,0,0,True,road962_lane0,left,road52_lane1,road16_lane1
862,Town04,916,2,49,1,0,0,0,264,0,0,0,0,0,0,0,0,0,True,road988_lane0,right,road52_lane1,road17_lane0
882,Town04,916,2,4,1,0,0,0,275,0,0,0,0,0,0,0,0,0,True,road926_lane0,straight,road17_lane1,road16_lane1
920,Town04,916,2,51,0,0,0,0,266,0,0,0,0,0,0,0,0,0,True,road1003_lane0,straight,road52_lane1,road27_lane1
922,Town04,916,2,51,1,0,0,0,265,0,0,0,0,0,0,0,0,0,True,road1003_lane0,straight,road52_lane1,road27_lane1
924,Town04,916,2,51,2,0,0,0,270,0,0,0,0,0,0,0,0,0,True,road1003_lane0,straight,road52_lane1,road27_lane1
926,Town04,916,2,51,3,0,0,0,266,0,0,0,0,0,0,0,0,0,True,road1003_lane0,straight,road52_lane1,road27_lane1
928,Town04,916,2,51,4,0,0,0,264,0,0,0,0,0,0,0,0,0,True,road1003_lane0,straight,road52_lane1,road27_lane1
930,Town04,916,2,51,5,0,0,0,265,0,0,0,0,0,0,0,0,0,True,road1003_lane0,straight,road52_lane1,road27_lane1
932,Town04,916,2,51,6,0,0,0,264,0,0,0,0,0,0,0,0,0,True,road1003_lane0,straight,road52_lane1,road27_lane1
934,Town04,916,2,51,7,0,0,0,268,0,0,0,0,0,0,0,0,0,True,road1003_lane0,straight,road52_lane1,road27_lane1
936,Town04,916,2,51,8,0,0,0,266,0,0,0,0,0,0,0,0,0,True,road1003_lane0,straight,road52_lane1,road27_lane1
938,Town04,916,2,51,9,0,0,0,264,0,0,0,0,0,0,0,0,0,True,road1003_lane0,straight,road52_lane1,road27_lane1
986,Town04,916,2,54,3,0,0,0,286,0,0,0,0,0,0,0,0,0,True,road1003_lane0,straight,road52_lane1,road27_lane1
1100,Town04,916,2,9,0,0,0,0,266,0,0,0,0,0,0,0,0,0,True,road981_lane0,left,road17_lane1,road52_lane0
1102,Town04,916,2,9,1,0,0,0,277,0,0,0,0,0,0,0,0,0,True,road981_lane0,left,road17_lane1,road52_lane0
1104,Town04,916,2,9,2,0,0,0,265,0,0,0,0,0,0,0,0,0,True,road981_lane0,left,road17_lane1,road52_lane0
1106,Town04,916,2,9,3,0,0,0,267,0,0,0,0,0,0,0,0,0,True,road981_lane0,left,road17_lane1,road52_lane0
1108,Town04,916,2,9,4,0,0,0,266,0,0,0,0,0,0,0,0,0,True,road981_lane0,left,road17_lane1,road52_lane0
1110,Town04,916,2,9,5,0,0,0,267,0,0,0,0,0,0,0,0,0,True,road981_lane0,left,road17_lane1,road52_lane0
1112,Town04,916,2,9,6,0,0,0,266,0,0,0,0,0,0,0,0,0,True,road981_lane0,left,road17_lane1,road52_lane0
1114,Town04,916,2,9,7,0,0,0,268,0,0,0,0,0,0,0,0,0,True,road981_lane0,left,road17_lane1,road52_lane0
1116,Town04,916,2,9,8,0,0,0,266,0,0,0,0,0,0,0,0,0,True,road981_lane0,left,road17_lane1,road52_lane0
1118,Town04,916,2,9,9,0,0,0,266,0,0,0,0,0,0,0,0,0,True,road981_lane0,left,road17_lane1,road52_lane0
